Data	Concentracao	Precipitacao	Velocidade_vento	Direcao_vento	Temperatura	Umidade
12/1/2015	24.39	7.40	0.67	4.67	22.90	78.33
12/3/2015	26.49	9.40	1.00	10.67	22.98	86.33
12/7/2015	21.94	10.80	0.50	10.67	21.80	87.00
12/9/2015	22.77	5.60	1.70	24.00	23.19	81.67
12/11/2015	23.43	0.70	1.00	33.33	23.24	78.67
12/15/2015	19.22	0.00	1.70	16.67	22.70	74.67
12/17/2015	20.52	0.00	0.67	18.50	24.87	53.50
12/21/2015	15.80	0.00	0.33	4.50	24.09	58.50
1/5/2016	19.46	1.20	1.37	5.50	23.67	61.50
1/7/2016	25.93	0.00	0.33	4.50	24.81	55.00
1/13/2016	11.02	122.40	0.33	29.50	21.71	92.00
1/15/2016	11.07	36.80	0.17	16.00	21.29	97.00
1/19/2016	18.87	0.00	2.07	16.00	20.75	79.00
1/21/2016	26.37	0.00	1.37	18.00	21.82	63.50
1/25/2016	13.34	0.00	0.00	0.00	23.49	0.00
1/27/2016	20.69	0.20	0.33	16.00	23.00	75.50
1/29/2016	11.73	15.00	0.67	5.00	22.73	85.00
2/2/2016	28.96	0.00	0.50	4.50	26.40	66.50
2/4/2016	27.62	0.00	1.55	11.50	24.38	84.50
2/8/2016	13.77	10.20	0.50	9.00	23.47	74.00
2/10/2016	17.12	0.00	0.50	18.00	25.52	74.50
2/12/2016	18.13	28.40	1.00	9.50	23.18	89.00
2/16/2016	2.70	46.00	2.05	27.00	22.26	92.50
2/18/2016	14.68	5.00	1.00	31.50	23.06	75.50
2/22/2016	12.40	2.40	0.50	36.00	21.91	82.00
2/24/2016	13.48	1.50	1.55	4.50	21.58	89.50
2/26/2016	16.67	1.70	2.05	5.00	23.32	79.00
2/29/2016	16.67	1.70	2.05	5.00	23.32	79.00
3/1/2016	13.45	0.38	0.18	243.54	21.01	86.51
3/3/2016	13.82	0.48	0.34	123.60	22.59	85.39
3/7/2016	13.52	0.02	0.14	129.20	25.24	76.53
3/9/2016	18.59	0.00	0.24	224.98	26.38	67.93
3/11/2016	13.35	2.41	0.97	127.02	22.98	90.20
3/15/2016	11.32	1.18	0.26	256.31	23.15	80.56
3/17/2016	10.70	1.54	0.44	256.89	23.10	78.08
3/21/2016	22.63	0.00	0.12	161.01	25.56	69.25
3/29/2016	22.35	0.00	0.09	194.39	25.21	73.11
3/31/2016	21.34	0.00	0.12	222.52	25.84	70.11
4/4/2016	5.27	0.00	0.16	193.33	26.68	64.02
4/6/2016	2.97	0.00	0.13	136.86	24.86	64.33
4/8/2016	5.58	0.00	0.05	115.66	26.27	58.31
4/12/2016	4.68	0.00	0.19	211.09	26.74	63.77
4/18/2016	22.55	0.00	0.12	155.73	24.98	62.67
4/20/2016	25.10	0.00	0.20	152.95	24.42	64.41
4/22/2016	39.82	0.00	0.05	107.21	23.76	63.03
4/26/2016	12.72	0.25	0.47	233.98	20.97	78.98
4/28/2016	19.85	0.00	0.07	118.26	15.87	87.46
5/2/2016	25.33	0.00	0.20	133.79	16.43	33.42
5/4/2016	33.36	0.00	0.06	77.52	21.17	56.85